d|2010年9月6日|设置进入程序密码|已设置
b|2010年9月4日|加密文本"kanhai.info..."|已成功
c|2010年9月4日|D:\ISO\McAfee Total Protection 2009 繁體中文1年版.iso|分割成功
a|2010年9月4日|D:\ISO\bluetooh.ISO|加密成功
c|2010年9月4日|D:\ISO\bluetooh.ISO|分割成功
d|2010年9月4日|自动检查更新|已取消
c|2010年9月4日|D:\ISO\winXP.iso|分割成功
d|2010年9月4日|自动检查更新|已开启
d|2010年9月4日|自动检查更新|已取消
d|2010年9月4日|自动检查更新|已开启
d|2010年9月4日|自动检查更新|已取消
d|2010年9月4日|自动检查更新|已开启
d|2010年9月2日|自动检查更新|已取消
d|2010年9月2日|自动检查更新|已开启
c|2010年9月2日|D:\ISO\bluetooh.ISO|分割成功
c|2010年9月1日|E:\电影\综艺节目\康熙 有go正\康熙来了20100615.f4v|分割成功
c|2010年9月1日|E:\电影\综艺节目\454335.flv|分割成功
c|2010年9月1日|E:\电影\综艺节目\454335.flv|分割成功
c|2010年9月1日|E:\电影\1992年春节联欢晚会歌曲 小虎队、红孩儿等《新年快乐》.flv.1|分割成功
c|2010年9月1日|E:\电影\1992年春节联欢晚会歌曲 小虎队、红孩儿等《新年快乐》.flv|分割成功
